SourceCodeId	SourceCodeSystem	SourceCode	SourceName	SourceDescription	Frequency	InitialComments	InitialStatus	ReviewerComments	ReviewerStatus	LastModification	LastModifier	ReviewChecked
153	MEDDRA	10017639	Gallbladder perforation		58		Initial mapping			20190515145033		
154	MEDDRA	10036186	Porphyria non-acute		4	Mapped uphill.	Initial mapping			20190515145033		
155	MEDDRA	10057847	Biliary sepsis		110		Initial mapping			20190603181459	Johan van der Lei	
156	MEDDRA	10025523	Malformation biliary		1		Initial mapping			20190724144916	Johan van der Lei	
157	MEDDRA	10018821	Haemangioma of liver		58		Initial mapping			20190515145033		
158	MEDDRA	10003827	Autoimmune hepatitis		102		Initial mapping			20190524002432	Johan van der Lei	
159	MEDDRA	10058989	Portal vein occlusion		4		Initial mapping			20190724143921	Johan van der Lei	
160	MEDDRA	10019728	Hepatitis alcoholic		57		Initial mapping			20190515145033		
161	MEDDRA	10049631	Oedema due to hepatic disease		1		No mapping available			20190603182219	Johan van der Lei	
162	MEDDRA	10057202	Biliary dilatation		102		Initial mapping			20190603182106	Johan van der Lei	
163	MEDDRA	10056514	Benign biliary neoplasm		3		Initial mapping			20190515145033		
164	MEDDRA	10057573	Chronic hepatic failure		53		Initial mapping			20190515145033		
165	MEDDRA	10051344	Bile output abnormal		3		Initial mapping			20190515145033		
166	MEDDRA	10068923	Portal hypertensive enteropathy		1		No mapping available			20190724125751	Johan van der Lei	
167	MEDDRA	10061008	Biliary tract disorder		52		Initial mapping			20190515145033		
168	MEDDRA	10036202	Portal pyaemia		1		Initial mapping			20190515145033		
169	MEDDRA	10014802	Endoscopic retrograde cholangiopancreatography		96		Initial mapping			20190515145033		
170	MEDDRA	10005428	Blood cholinesterase		3		Initial mapping			20190515145033		
171	MEDDRA	10019847	Hepatosplenomegaly		52		Initial mapping			20190515145033		
172	MEDDRA	10019663	Hepatic failure		1422		Initial mapping			20190515145033		
173	MEDDRA	10063075	Cryptogenic cirrhosis		9		Initial mapping			20190515145033		
174	MEDDRA	10008604	Cholangitis		1241		Initial mapping			20190515145033		
175	MEDDRA	10067281	Portopulmonary hypertension		1		Initial mapping			20190515145033		
176	MEDDRA	10058117	Ocular icterus		1119		Initial mapping			20190515145033		
177	MEDDRA	10039610	Schistosomiasis liver		1		Initial mapping			20190515145033		
178	MEDDRA	10019755	Hepatitis chronic active		9		Initial mapping			20190515145033		
179	MEDDRA	10019708	Hepatic steatosis		1007		Initial mapping			20190724145245	Johan van der Lei	
180	MEDDRA	10066955	Single photon emission computerised tomogram		20		Initial mapping			20190515145033		
181	MEDDRA	10019772	Hepatitis fulminant		9		Initial mapping			20190515145033		
182	MEDDRA	10069380	Small-for-size liver syndrome		1		No mapping available			20190515145033		
183	MEDDRA	10004637	Bile duct stone		898	CDM includes a number of addtional diagnosis (e.g., bile duct calculus with acute cholecystitis...). Part of these are ""finding site - bile duct structure"" and ""associated morphology"". As long as we seach on those, we are ok. Otherwise we have to developed an algorithm to add these clinical findings as well. 	Initial mapping			20190724124745	Johan van der Lei	
184	MEDDRA	10004661	Biliary cirrhosis primary		19	In Snomed, primary biliary cholangitis is a child term under biliary cirrhosis. 	Initial mapping			20190524003842	Johan van der Lei	
185	MEDDRA	10023136	Jaundice hepatocellular		9		Initial mapping			20190515145033		
186	MEDDRA	10073069	Hepatic cancer		868		Initial mapping			20190515145033		
187	MEDDRA	10024712	Liver tenderness		9		Initial mapping			20190515145033		
188	MEDDRA	10057851	Ultrasound biliary tract abnormal		1		Initial mapping			20190515145033		
189	MEDDRA	10008609	Cholangitis sclerosing		19		Initial mapping			20190515145033		
190	MEDDRA	10062000	Hepatobiliary disease		865		Initial mapping			20190524000327	Johan van der Lei	
191	MEDDRA	10066004	Pneumobilia		9		No mapping available			20190515145033		
192	MEDDRA	10058947	Haemobilia		19		Initial mapping			20190515145033		
193	MEDDRA	10027457	Metastases to liver		858		Initial mapping			20190515145033		
194	MEDDRA	10005369	Blood bilirubin unconjugated		8		Initial mapping			20190515145033		
195	MEDDRA	10005431	Blood cholinesterase increased		2		Initial mapping			20190515145033		
196	MEDDRA	10062688	Transaminases abnormal		19		Initial mapping			20190724144329	Johan van der Lei	
197	MEDDRA	10008635	Cholestasis		781		Initial mapping			20190524000424	Johan van der Lei	
198	MEDDRA	10019744	Hepatitis C		746		Initial mapping			20190724124232	Johan van der Lei	
199	MEDDRA	10056328	Hepatic ischaemia		18		Initial mapping			20190524120913	Johan van der Lei	
200	MEDDRA	10048245	Yellow skin		706		Initial mapping			20190515145033		
201	MEDDRA	10017635	Gallbladder non-functioning		8		Initial mapping			20190515145033		
202	MEDDRA	10051012	Gastric varices		17		Initial mapping			20190515145033		
203	MEDDRA	10067969	Cholestatic liver injury		2		Initial mapping			20190515145033		
204	MEDDRA	10021083	Hypoproteinaemia		697		Initial mapping			20190515145033		
205	MEDDRA	10053973	Hepatic cyst ruptured		8		No mapping available			20190515145033		
206	MEDDRA	10059766	Haemorrhagic ascites		17		Initial mapping			20190515145033		
207	MEDDRA	10064190	Cholestatic pruritus		2		Initial mapping			20190515145033		
208	MEDDRA	10019660	Hepatic encephalopathy		678		Initial mapping			20190515145033		
209	MEDDRA	10019668	Hepatic fibrosis		17		Initial mapping			20190515145033		
210	MEDDRA	10019842	Hepatomegaly		645		Initial mapping			20190515145033		
211	MEDDRA	10024275	Leucine aminopeptidase increased		8		Initial mapping			20190724142901	Johan van der Lei	
212	MEDDRA	10019641	Hepatic cirrhosis		598		Initial mapping			20190515145033		
213	MEDDRA	10058286	Gallbladder adenocarcinoma		16		Initial mapping			20190603175359	Johan van der Lei	
214	MEDDRA	10010317	Congenital absence of bile ducts		2		Initial mapping			20190515145033		
215	MEDDRA	10073071	Hepatocellular carcinoma		583		Initial mapping			20190515145033		
216	MEDDRA	10017624	Gallbladder cholesterolosis		16		Initial mapping			20190515145033		
217	MEDDRA	10027761	Mixed hepatocellular cholangiocarcinoma		8		Initial mapping			20190515145033		
218	MEDDRA	10017687	Gamma-glutamyltransferase		578		Initial mapping			20190515145033		
219	MEDDRA	10019851	Hepatotoxicity		557		Initial mapping			20190619142644	Johan van der Lei	
220	MEDDRA	10019713	Hepatic vein thrombosis		16		Initial mapping			20190515145033		
221	MEDDRA	10034405	Perforation bile duct		8		Initial mapping			20190515145033		
222	MEDDRA	10010427	Congenital cystic disease of liver		2		Initial mapping			20190515145033		
223	MEDDRA	10050287	Ammonia		7		Initial mapping			20190515145033		
224	MEDDRA	10008617	Cholecystitis chronic		538		Initial mapping			20190515145033		
225	MEDDRA	10066879	Gallbladder cancer metastatic		15		Initial mapping			20190515145033		
226	MEDDRA	10004269	Benign hepatic neoplasm		7		Initial mapping			20190515145033		
227	MEDDRA	10056375	Bile duct obstruction		474		Initial mapping			20190724144853	Johan van der Lei	
228	MEDDRA	10008602	Cholangiolitis		7		Initial mapping			20190515145033		
229	MEDDRA	10062693	Gallbladder enlargement		15		Initial mapping			20190515145033		
230	MEDDRA	10071634	Deficiency of bile secretion		2		No mapping available			20190515145033		
231	MEDDRA	10017631	Gallbladder fistula		15		Initial mapping			20190515145033		
232	MEDDRA	10017642	Gallbladder injury		7		Initial mapping			20190515145033		
233	MEDDRA	10004685	Bilirubin conjugated increased		473		Initial mapping			20190724144226	Johan van der Lei	
234	MEDDRA	10049058	HELLP syndrome		15		Initial mapping			20190515145033		
235	MEDDRA	10017690	Gamma-glutamyltransferase decreased		2		Initial mapping			20190724145102	Johan van der Lei	
236	MEDDRA	10019680	Hepatic infarction		7		Initial mapping			20190515145033		
237	MEDDRA	10019707	Hepatic rupture		15		Initial mapping			20190515145033		
238	MEDDRA	10054888	Transaminases		457		Initial mapping			20190619142659	Johan van der Lei	
239	MEDDRA	10003547	Asterixis		14		Initial mapping			20190515145033		
240	MEDDRA	10019635	Hepatic artery embolism		2		Initial mapping			20190515145033		
241	MEDDRA	10058991	Hepatic vein occlusion		7		Initial mapping			20190515145033		
242	MEDDRA	10001551	Alanine aminotransferase increased		63625		Initial mapping			20190515145033		
243	MEDDRA	10073073	Hepatobiliary cancer		7	Hepatobiliary is not often used in Snomed. Need to discuss on how the map.	Initial mapping			20190515145033		
244	MEDDRA	10059325	Hepatic cancer stage IV		2	Mapped uphill	Initial mapping			20190515145033		
245	MEDDRA	10005430	Blood cholinesterase decreased		14		Initial mapping			20190515145033		
246	MEDDRA	10056302	Hepatic dysplasia		2		No mapping available			20190515145033		
247	MEDDRA	10008910	Chronic hepatitis B		14		Initial mapping			20190515145033		
248	MEDDRA	10056523	Hepatobiliary infection		7		Initial mapping			20190724141533	Johan van der Lei	
249	MEDDRA	10003481	Aspartate aminotransferase increased		52868		Initial mapping			20190515145033		
250	MEDDRA	10054885	Hepatic haemangioma rupture		2		No mapping available			20190515145033		
251	MEDDRA	10020942	Hypoalbuminaemia		22891		Initial mapping			20190515145033		
252	MEDDRA	10029530	Non-alcoholic fatty liver		7		Initial mapping			20190515145033		
253	MEDDRA	10020732	Hyperplastic cholecystopathy		14		Initial mapping			20190724125744	Johan van der Lei	
254	MEDDRA	10054125	Perihepatic discomfort		7		Initial mapping			20190515145033		
255	MEDDRA	10065217	Hepatic infection fungal		2		No mapping available			20190515145033		
256	MEDDRA	10005364	Blood bilirubin increased		16405		Initial mapping			20190515145033		
257	MEDDRA	10066424	Sphincter of Oddi dysfunction		14		Initial mapping			20190515145033		
258	MEDDRA	10020578	Hyperbilirubinaemia		10148		Initial mapping			20190515145033		
259	MEDDRA	10059446	Gallbladder necrosis		13		Initial mapping			20190515145033		
260	MEDDRA	10066244	Hepatic sequestration		2		Initial mapping			20190515145033		
261	MEDDRA	10065051	Acute hepatitis C		35		Initial mapping			20190515145033		
262	MEDDRA	10050842	Liver carcinoma ruptured		13		No mapping available			20190515145033		
263	MEDDRA	10010075	Coma hepatic		35		Initial mapping			20190515145033		
264	MEDDRA	10003476	Aspartate aminotransferase		9989		Initial mapping			20190515145033		
265	MEDDRA	10052384	Biliary cyst		12		Initial mapping			20190515145033		
266	MEDDRA	10051590	Hepatosplenic candidiasis		2		Initial mapping			20190603180517	Johan van der Lei	
267	MEDDRA	10058477	Blood bilirubin abnormal		32		Initial mapping			20190515145033		
268	MEDDRA	10001546	Alanine aminotransferase		9664		Initial mapping			20190515145033		
269	MEDDRA	10071502	Intestinal varices		2		No mapping available			20190515145033		
270	MEDDRA	10049055	Cholestasis of pregnancy		12		Initial mapping			20190515145033		
271	MEDDRA	10008909	Chronic hepatitis		32		Initial mapping			20190515145033		
272	MEDDRA	10066758	Mixed liver injury		2		No mapping available			20190515145033		
273	MEDDRA	10059193	Acute hepatitis B		31		Initial mapping			20190515145033		
274	MEDDRA	10017693	Gamma-glutamyltransferase increased		9468		Initial mapping			20190515145033		
275	MEDDRA	10074726	Portal fibrosis		2		No mapping available			20190515145033		
276	MEDDRA	10008629	Cholelithiasis		6493		Initial mapping			20190523234110	Johan van der Lei	
277	MEDDRA	10052383	Dilatation intrahepatic duct acquired		12		Initial mapping			20190603181653	Johan van der Lei	
278	MEDDRA	10036204	Portal shunt		2	Discussion: is this what is meant?	Initial mapping			20190724125402	Johan van der Lei	
279	MEDDRA	10008630	Cholelithiasis obstructive		31		Initial mapping			20190524003536	Johan van der Lei	
280	MEDDRA	10003445	Ascites		6155		Initial mapping			20190523235657	Johan van der Lei	
281	MEDDRA	10005362	Blood bilirubin		4231		Initial mapping			20190515145033		
282	MEDDRA	10011830	Cytomegalovirus hepatitis		31		Initial mapping			20190515145033		
283	MEDDRA	10008612	Cholecystitis		4045		Initial mapping			20190523234312	Johan van der Lei	
284	MEDDRA	10036205	Portal vein phlebitis		2		Initial mapping			20190515145033		
285	MEDDRA	10017688	Gamma-glutamyltransferase abnormal		12		Initial mapping			20190515145033		
286	MEDDRA	10076331	Steatohepatitis		2		Initial mapping			20190515145033		
287	MEDDRA	10073070	Hepatic cancer recurrent		30		Initial mapping			20190603180256	Johan van der Lei	
288	MEDDRA	10019670	Hepatic function abnormal		3353		Initial mapping			20190515145033		
289	MEDDRA	10067718	Bilirubin conjugated abnormal		11		Initial mapping			20190724142346	Johan van der Lei	
290	MEDDRA	10056956	Subacute hepatic failure		2		Initial mapping			20190515145033		
291	MEDDRA	10023126	Jaundice		2810		Initial mapping			20190515145033		
292	MEDDRA	10018267	Gilbert's syndrome		11		Initial mapping			20190515145033		
293	MEDDRA	10054889	Transaminases increased		2745		Initial mapping			20190619142532	Johan van der Lei	
294	MEDDRA	10025697	Malignant neoplasm of ampulla of Vater		30		Initial mapping			20190524003612	Johan van der Lei	
295	MEDDRA	10019629	Hepatic adenoma		11		Initial mapping			20190515145033		
296	MEDDRA	10000746	Acute fatty liver of pregnancy		1		Initial mapping			20190515145033		
297	MEDDRA	10008614	Cholecystitis acute		2723		Initial mapping			20190515145033		
298	MEDDRA	10051733	Portal vein stenosis		11	Discussion: when is exactly the difference between obstruction and occlusion	Initial mapping			20190515145033		
299	MEDDRA	10068884	Cholelithiasis migration		3		Initial mapping			20190603180724	Johan van der Lei	
300	MEDDRA	10003477	Aspartate aminotransferase abnormal		29		Initial mapping			20190515145033		
301	MEDDRA	10004684	Bilirubin conjugated		10		Initial mapping			20190515145033		
302	MEDDRA	10024690	Liver function test abnormal		2667		Initial mapping			20190515145033		
303	MEDDRA	10063741	Hepatic amoebiasis		3		Initial mapping			20190515145033		
304	MEDDRA	10051705	Hepatic cyst infection		29		Initial mapping			20190515145033		
305	MEDDRA	10019637	Hepatic atrophy		3		Initial mapping			20190515145033		
306	MEDDRA	10056668	Emphysematous cholecystitis		10		Initial mapping			20190515145033		
307	MEDDRA	10019692	Hepatic necrosis		28		Initial mapping			20190515145033		
308	MEDDRA	10060795	Hepatic enzyme increased		2594		Initial mapping			20190724143257	Johan van der Lei	
309	MEDDRA	10067365	Hepatic hydrothorax		3		No mapping available			20190515145033		
310	MEDDRA	10019717	Hepatitis		2029		Initial mapping			20190515145033		
311	MEDDRA	10017649	Gallstone ileus		10		Initial mapping			20190515145033		
312	MEDDRA	10049869	Blood bilirubin decreased		27		Initial mapping			20190515145033		
313	MEDDRA	10068237	Hypertransaminasaemia		1644		Initial mapping			20190619142256	Johan van der Lei	
314	MEDDRA	10018872	Haemochromatosis		27		Initial mapping			20190515145033		
315	MEDDRA	10024670	Liver disorder		1597		Initial mapping			20190515145033		
