SourceCodeId	SourceCodeSystem	SourceCode	SourceName	GroupId	TargetConceptId	TargetConceptCode	TargetConceptName	TargetDomain	TargetClass	StandardCode
79	MEDDRA	10052554	Foetor hepaticus	1	4280802	65870008	Fetor hepaticus	Condition	Clinical Finding	S
80	MEDDRA	10067979	Traumatic liver injury	1	4009105	10200004	Liver structure	Spec Anatomic Site	Body Structure	S
80	MEDDRA	10067979	Traumatic liver injury	1	440921	417746004	Traumatic injury	Condition	Clinical Finding	S
81	MEDDRA	10017626	Gallbladder disorder	1	192353	39621005	Disorder of gallbladder	Condition	Clinical Finding	S
83	MEDDRA	10067125	Liver injury	1	193355	39400004	Injury of liver	Condition	Clinical Finding	S
84	MEDDRA	10076240	Gallbladder adenoma	1	4138073	32048006	Adenoma	Observation	Morph Abnormality	S
84	MEDDRA	10076240	Gallbladder adenoma	1	4151384	28231008	Gallbladder structure	Spec Anatomic Site	Body Structure	S
85	MEDDRA	10019636	Hepatic artery thrombosis	1	4223098	83940008	Hepatic artery thrombosis	Condition	Clinical Finding	S
86	MEDDRA	10051991	Hepatic artery occlusion	1	4328345	76015000	Hepatic artery	Spec Anatomic Site	Body Structure	S
86	MEDDRA	10051991	Hepatic artery occlusion	1	4162038	2929001	Occlusion of artery	Condition	Clinical Finding	S
87	MEDDRA	10061695	Biliary tract infection	1	4146820	34707002	Biliary tract structure	Spec Anatomic Site	Body Structure	S
87	MEDDRA	10061695	Biliary tract infection	1	432250	40733004	Disorder due to infection	Condition	Clinical Finding	S
88	MEDDRA	10073067	Gallbladder adenosquamous carcinoma	1	4298029	403902008	Adenosquamous cell carcinoma	Condition	Clinical Finding	S
88	MEDDRA	10073067	Gallbladder adenosquamous carcinoma	1	4151384	28231008	Gallbladder structure	Spec Anatomic Site	Body Structure	S
89	MEDDRA	10001627	Alcoholic liver disease	1	201612	41309000	Alcoholic liver damage	Condition	Clinical Finding	S
90	MEDDRA	10052274	Hepatopulmonary syndrome	1	4159144	371067004	Hepatopulmonary syndrome	Condition	Clinical Finding	S
91	MEDDRA	10019795	Hepatitis toxic	1	4055223	197352008	Toxic hepatitis	Condition	Clinical Finding	S
92	MEDDRA	10019845	Hepatorenal failure	1	196455	51292008	Hepatorenal syndrome	Condition	Clinical Finding	S
93	MEDDRA	10058281	Gallbladder cancer stage II	1	4181327	363353009	Malignant tumor of gallbladder	Condition	Clinical Finding	S
94	MEDDRA	10023130	Jaundice extrahepatic obstructive	1	4242900	59848001	Obstructive hyperbilirubinemia	Condition	Clinical Finding	S
95	MEDDRA	10057987	Gallbladder mucocoele	1	4302021	78793006	Mucocele of gallbladder	Condition	Clinical Finding	S
96	MEDDRA	10077692	Liver function test increased	1	4158182	271552009	Liver function tests - general	Measurement	Procedure	S
96	MEDDRA	10077692	Liver function test increased	1	4124458	260399008	Raised	Meas Value	Qualifier Value	S
98	MEDDRA	10050897	Portal hypertensive gastropathy	1	4116347	303082009	Portal hypertensive gastropathy	Condition	Clinical Finding	S
99	MEDDRA	10019719	Hepatitis A	1	4223947	40468003	Viral hepatitis, type A	Condition	Clinical Finding	S
100	MEDDRA	10061947	Liver scan abnormal	1	40484531	442684004	Imaging of liver abnormal	Condition	Clinical Finding	S
101	MEDDRA	10036200	Portal hypertension	1	192680	34742003	Portal hypertension	Condition	Clinical Finding	S
103	MEDDRA	10019695	Hepatic neoplasm	1	4130518	126851005	Neoplasm of liver	Condition	Clinical Finding	S
104	MEDDRA	10062685	Hepatic enzyme abnormal	1	4042563	166643006	Liver enzymes abnormal	Condition	Clinical Finding	S
106	MEDDRA	10019646	Hepatic cyst	1	4225905	85057007	Liver cyst	Condition	Clinical Finding	S
107	MEDDRA	10062195	Metastases to biliary tract	1	4311638	94185003	Secondary malignant neoplasm of biliary tract	Condition	Clinical Finding	S
108	MEDDRA	10056529	Biliary dyskinesia	1	4055350	197432008	Biliary dyskinesia	Condition	Clinical Finding	S
109	MEDDRA	10049653	Hepatic candidiasis	1	433968	78048006	Candidiasis	Condition	Clinical Finding	S
109	MEDDRA	10049653	Hepatic candidiasis	1	4009105	10200004	Liver structure	Spec Anatomic Site	Body Structure	S
110	MEDDRA	10019677	Hepatic haemorrhage	1	4043254	16763008	Hemorrhage of liver	Condition	Clinical Finding	S
111	MEDDRA	10055110	Hepatic cancer metastatic	1	198700	94381002	Secondary malignant neoplasm of liver	Condition	Clinical Finding	S
112	MEDDRA	10073851	Tumour of ampulla of Vater	1	4130998	126858004	Neoplasm of ampulla of Vater	Condition	Clinical Finding	S
113	MEDDRA	10023025	Ischaemic hepatitis	1	4340384	235877000	Ischemic hepatitis	Condition	Clinical Finding	S
114	MEDDRA	10060794	Hepatic enzyme decreased	1	4053347	1250004	Decreased	Meas Value	Qualifier Value	S
114	MEDDRA	10060794	Hepatic enzyme decreased	1	4155237	269856004	Measurement of liver enzyme	Measurement	Procedure	S
115	MEDDRA	10000804	Acute hepatic failure	1	4026032	197270009	Acute hepatic failure	Condition	Clinical Finding	S
115	MEDDRA	10000804	Acute hepatic failure	2	4340389	235884008	Fulminant hepatic failure	Condition	Clinical Finding	S
116	MEDDRA	10017638	Gallbladder pain	1	4010981	102628000	Gallbladder pain	Condition	Clinical Finding	S
117	MEDDRA	10067376	Ampulla of Vater stenosis	1	4072277	176639008	Acquired stenosis	Observation	Morph Abnormality	S
117	MEDDRA	10067376	Ampulla of Vater stenosis	1	4283974	67109009	Structure of ampulla of Vater	Spec Anatomic Site	Body Structure	S
119	MEDDRA	10017636	Gallbladder obstruction	1	192363	75726005	Obstruction of gallbladder	Condition	Clinical Finding	S
119	MEDDRA	10017636	Gallbladder obstruction	2	4058818	197416005	Occlusion of gallbladder	Condition	Clinical Finding	S
121	MEDDRA	10053113	Bilirubin urine	1	4230546	359992002	Bilirubin measurement, urine	Measurement	Procedure	S
122	MEDDRA	10024715	Liver transplant rejection	1	4341657	235911006	Liver transplant rejection	Condition	Clinical Finding	S
123	MEDDRA	10056522	Infection	1	432250	40733004	Disorder due to infection	Condition	Clinical Finding	S
124	MEDDRA	10008598	Cholangiogram	1	4151838	28367004	Cholangiogram	Procedure	Procedure	S
125	MEDDRA	10051659	Hepatic siderosis	1	4308602	83761007	Hepatic hemosiderosis	Condition	Clinical Finding	S
126	MEDDRA	10017614	Gallbladder cancer	1	4181327	363353009	Malignant tumor of gallbladder	Condition	Clinical Finding	S
127	MEDDRA	10061998	Hepatic lesion	1	4104000	300331000	Lesion of liver	Condition	Clinical Finding	S
128	MEDDRA	10067388	Hepatic angiosarcoma	1	4003021	109844006	Angiosarcoma of liver	Condition	Clinical Finding	S
129	MEDDRA	10019768	Hepatitis E	1	45769824	7111000119109	Viral hepatitis E	Condition	Clinical Finding	S
130	MEDDRA	10074494	Hepatic vascular thrombosis	1	4223098	83940008	Hepatic artery thrombosis	Condition	Clinical Finding	S
130	MEDDRA	10074494	Hepatic vascular thrombosis	2	4301208	38739001	Hepatic vein thrombosis	Condition	Clinical Finding	S
131	MEDDRA	10019773	Hepatitis G	1	4287644	397575003	Viral hepatitis, type G	Condition	Clinical Finding	S
132	MEDDRA	10019659	Hepatic echinococciasis	1	195749	26103000	Echinococcosis of liver	Condition	Clinical Finding	S
133	MEDDRA	10062883	Biliary anastomosis complication	1	4141110	3360004	Anastomosis of bile ducts	Procedure	Procedure	S
133	MEDDRA	10062883	Biliary anastomosis complication	1	4137797	263718001	Complication	Observation	Attribute	S
134	MEDDRA	10019645	Hepatic congestion	1	4296301	76281005	Hepatic congestion	Condition	Clinical Finding	S
135	MEDDRA	10019786	Hepatitis non-A non-B	1	4089873	186634008	Hepatitis non-A non-B	Condition	Clinical Finding	S
137	MEDDRA	10008593	Cholangiocarcinoma	1	4321680	70179006	Cholangiocarcinoma	Observation	Morph Abnormality	S
137	MEDDRA	10008593	Cholangiocarcinoma	2	4208660	312104005	Cholangiocarcinoma of biliary tract	Condition	Clinical Finding	S
137	MEDDRA	10008593	Cholangiocarcinoma	3	40490929	447109003	Primary malignant neoplasm of intrahepatic bile duct	Condition	Clinical Finding	S
138	MEDDRA	10020575	Hyperammonaemia	1	4246681	9360008	Hyperammonemia	Condition	Clinical Finding	S
139	MEDDRA	10067266	Liver contusion	1	4096646	262799001	Contusion of liver	Condition	Clinical Finding	S
140	MEDDRA	10001547	Alanine aminotransferase abnormal	1	4041531	166646003	Alanine aminotransferase (ALT) (serum glutamic-pyruvic transaminase) (SGPT) level abnormal	Condition	Clinical Finding	S
141	MEDDRA	10019799	Hepatitis viral	1	4291005	3738000	Viral hepatitis	Condition	Clinical Finding	S
142	MEDDRA	10019819	Hepato-lenticular degeneration	1	4229262	88518009	Wilson's disease	Condition	Clinical Finding	S
143	MEDDRA	10051667	Metastases to gallbladder	1	4313079	94312000	Secondary malignant neoplasm of gallbladder	Condition	Clinical Finding	S
144	MEDDRA	10001946	Ammonia increased	1	4245982	59960001	Ammonia measurement	Measurement	Procedure	S
144	MEDDRA	10001946	Ammonia increased	1	4146067	35105006	Increased	Meas Value	Qualifier Value	S
145	MEDDRA	10077631	Liver disorder	1	194984	235856003	Disease of liver	Condition	Clinical Finding	S
146	MEDDRA	10019846	Hepatorenal syndrome	1	196455	51292008	Hepatorenal syndrome	Condition	Clinical Finding	S
147	MEDDRA	10019676	Hepatic haematoma	1	4096644	262796008	Liver hematoma	Condition	Clinical Finding	S
148	MEDDRA	10004791	Biopsy liver	1	4314001	86259008	Biopsy of liver	Procedure	Procedure	S
149	MEDDRA	10056528	Neonatal cholestasis	1	4203366	433237003	Cholestasis in newborn	Condition	Clinical Finding	S
150	MEDDRA	10060106	Liver function test normal	1	4043075	166602006	Liver function tests normal	Condition	Clinical Finding	S
151	MEDDRA	10036182	Porphyria acute	1	4120604	234422006	Acute intermittent porphyria	Condition	Clinical Finding	S
152	MEDDRA	10057586	Post procedural bile leak	1	4340400	235931005	Leakage of bile	Condition	Clinical Finding	S
152	MEDDRA	10057586	Post procedural bile leak	1	444239	128926000	Postprocedural state finding	Condition	Clinical Finding	S
153	MEDDRA	10017639	Gallbladder perforation	1	196469	25345001	Perforation of gallbladder	Condition	Clinical Finding	S
154	MEDDRA	10036186	Porphyria non-acute	1	4305376	418470004	Porphyria	Condition	Clinical Finding	S
155	MEDDRA	10057847	Biliary sepsis	1	4146820	34707002	Biliary tract structure	Spec Anatomic Site	Body Structure	S
155	MEDDRA	10057847	Biliary sepsis	1	132797	91302008	Sepsis	Condition	Clinical Finding	S
156	MEDDRA	10025523	Malformation biliary	1	4109792	253804002	Biliary anomalies	Condition	Clinical Finding	S
156	MEDDRA	10025523	Malformation biliary	2	4187364	4711003	Congenital anomaly of bile ducts	Condition	Clinical Finding	S
157	MEDDRA	10018821	Haemangioma of liver	1	4247079	93469006	Hemangioma of liver	Condition	Clinical Finding	S
158	MEDDRA	10003827	Autoimmune hepatitis	1	200762	408335007	Autoimmune hepatitis	Condition	Clinical Finding	S
158	MEDDRA	10003827	Autoimmune hepatitis	2	4026125	197284004	Chronic active hepatitis	Condition	Clinical Finding	S
159	MEDDRA	10058989	Portal vein occlusion	1	35624285	766945009	Complete obstruction of hepatic portal vein	Condition	Clinical Finding	S
159	MEDDRA	10058989	Portal vein occlusion	2	4238060	57348003	Portal vein obstruction	Condition	Clinical Finding	S
160	MEDDRA	10019728	Hepatitis alcoholic	1	4340383	235875008	Alcoholic hepatitis	Condition	Clinical Finding	S
162	MEDDRA	10057202	Biliary dilatation	1	4146820	34707002	Biliary tract structure	Spec Anatomic Site	Body Structure	S
162	MEDDRA	10057202	Biliary dilatation	1	4102695	25322007	Dilatation	Observation	Morph Abnormality	S
163	MEDDRA	10056514	Benign biliary neoplasm	1	4239733	91991003	Benign neoplasm of biliary tract	Condition	Clinical Finding	S
164	MEDDRA	10057573	Chronic hepatic failure	1	4340390	235886005	Chronic hepatic failure	Condition	Clinical Finding	S
165	MEDDRA	10051344	Bile output abnormal	1	4135493	263654008	Abnormal	Spec Disease Status	Qualifier Value	S
165	MEDDRA	10051344	Bile output abnormal	1	4149338	35184007	Bile secretion	Observation	Observable Entity	S
167	MEDDRA	10061008	Biliary tract disorder	1	197917	105997008	Disorder of biliary tract	Condition	Clinical Finding	S
168	MEDDRA	10036202	Portal pyaemia	1	192670	67656006	Portal pyemia	Condition	Clinical Finding	S
169	MEDDRA	10014802	Endoscopic retrograde cholangiopancreatography	1	4304943	386718000	Endoscopic retrograde cholangiopancreatography	Procedure	Procedure	S
170	MEDDRA	10005428	Blood cholinesterase	1	4179778	50684000	Pseudocholinesterase measurement	Measurement	Procedure	S
171	MEDDRA	10019847	Hepatosplenomegaly	1	4279681	36760000	Hepatosplenomegaly	Condition	Clinical Finding	S
172	MEDDRA	10019663	Hepatic failure	1	4245975	59927004	Hepatic failure	Condition	Clinical Finding	S
173	MEDDRA	10063075	Cryptogenic cirrhosis	1	4232955	89580002	Cryptogenic cirrhosis	Condition	Clinical Finding	S
174	MEDDRA	10008604	Cholangitis	1	195856	82403002	Cholangitis	Condition	Clinical Finding	S
175	MEDDRA	10067281	Portopulmonary hypertension	1	40482858	445237003	Pulmonary arterial hypertension associated with portal hypertension	Condition	Clinical Finding	S
176	MEDDRA	10058117	Ocular icterus	1	4081004	246975001	Scleral icterus	Condition	Clinical Finding	S
177	MEDDRA	10039610	Schistosomiasis liver	1	4236011	90753004	Hepatic schistosomiasis	Condition	Clinical Finding	S
178	MEDDRA	10019755	Hepatitis chronic active	1	4026125	197284004	Chronic active hepatitis	Condition	Clinical Finding	S
179	MEDDRA	10019708	Hepatic steatosis	2	4059290	197321007	Steatosis of liver	Condition	Clinical Finding	S
180	MEDDRA	10066955	Single photon emission computerised tomogram	1	4019823	105371005	Single photon emission computerized tomography	Procedure	Procedure	S
181	MEDDRA	10019772	Hepatitis fulminant	1	4143845	427044009	Fulminant hepatitis	Condition	Clinical Finding	S
183	MEDDRA	10004637	Bile duct stone	1	443792	30093007	Calculus of bile duct	Condition	Clinical Finding	S
184	MEDDRA	10004661	Biliary cirrhosis primary	1	4135822	31712002	Primary biliary cholangitis	Condition	Clinical Finding	S
185	MEDDRA	10023136	Jaundice hepatocellular	1	4282941	66789005	Hepatocellular jaundice	Condition	Clinical Finding	S
186	MEDDRA	10073069	Hepatic cancer	1	4246127	93870000	Malignant neoplasm of liver	Condition	Clinical Finding	S
187	MEDDRA	10024712	Liver tenderness	1	4010482	102627005	Liver tender	Condition	Clinical Finding	S
188	MEDDRA	10057851	Ultrasound biliary tract abnormal	1	4135493	263654008	Abnormal	Spec Disease Status	Qualifier Value	S
188	MEDDRA	10057851	Ultrasound biliary tract abnormal	1	4194854	44052005	Ultrasonography of biliary tract	Procedure	Procedure	S
189	MEDDRA	10008609	Cholangitis sclerosing	1	4340953	235917005	Sclerosing cholangitis	Condition	Clinical Finding	S
190	MEDDRA	10062000	Hepatobiliary disease	1	194984	235856003	Disease of liver	Condition	Clinical Finding	S
190	MEDDRA	10062000	Hepatobiliary disease	2	197917	105997008	Disorder of biliary tract	Condition	Clinical Finding	S
192	MEDDRA	10058947	Haemobilia	1	4279640	66556007	Hemobilia	Condition	Clinical Finding	S
193	MEDDRA	10027457	Metastases to liver	1	198700	94381002	Secondary malignant neoplasm of liver	Condition	Clinical Finding	S
194	MEDDRA	10005369	Blood bilirubin unconjugated	1	4018181	104553007	Bilirubin, non-glucuronidated measurement	Measurement	Procedure	S
195	MEDDRA	10005431	Blood cholinesterase increased	1	4146067	35105006	Increased	Meas Value	Qualifier Value	S
195	MEDDRA	10005431	Blood cholinesterase increased	1	4179778	50684000	Pseudocholinesterase measurement	Measurement	Procedure	S
196	MEDDRA	10062688	Transaminases abnormal	1	4041531	166646003	Alanine aminotransferase (ALT) (serum glutamic-pyruvic transaminase) (SGPT) level abnormal	Condition	Clinical Finding	S
196	MEDDRA	10062688	Transaminases abnormal	2	4043085	166668008	AST/SGOT level abnormal	Condition	Clinical Finding	S
197	MEDDRA	10008635	Cholestasis	1	4143915	33688009	Cholestasis	Condition	Clinical Finding	S
197	MEDDRA	10008635	Cholestasis	2	4026155	197446008	Occlusion of bile duct	Condition	Clinical Finding	S
197	MEDDRA	10008635	Cholestasis	3	201066	30144000	Obstruction of bile duct	Condition	Clinical Finding	S
198	MEDDRA	10019744	Hepatitis C	1	197494	50711007	Viral hepatitis C	Condition	Clinical Finding	S
198	MEDDRA	10019744	Hepatitis C	2	192242	235866006	Acute hepatitis C	Condition	Clinical Finding	S
198	MEDDRA	10019744	Hepatitis C	2	198964	128302006	Chronic hepatitis C	Condition	Clinical Finding	S
198	MEDDRA	10019744	Hepatitis C	2	4089873	186634008	Hepatitis non-A non-B	Condition	Clinical Finding	S
198	MEDDRA	10019744	Hepatitis C	2	439672	186628001	Viral hepatitis C with coma	Condition	Clinical Finding	S
199	MEDDRA	10056328	Hepatic ischaemia	1	4200991	52674009	Ischemia	Condition	Clinical Finding	S
